Use Case Type;Packet Loss Budget;Latency Budget (ns);Jitter Budget (ns);Data Rate Budget (Gbps);Required Mobility;Required Connectivity;Slice Available Transfer Rate (Gbps);Slice Latency (ns);Slice Packet Loss;Slice Jitter (ns);Slice Type;Slice Handover
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;4790.917109460608;1219986.6138254139;0.0004404393526393602;1859015.698990633;mURLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;1474.4850183620702;2007926.44096621;0.00047446344730141336;3023750.1063557332;mURLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;3125.5187493627723;2279336.8304445003;0.0001891218064874879;2248725.3068411876;MBRLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;2912.9987104777965;2662424.537016057;0.00041311561410438635;1758975.6556149223;MBRLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;3643.080879632837;2084748.4421923386;0.00040299235180245047;1475780.9567998962;ERLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;4415.2680888795285;2322574.1528237956;0.0003099364025254516;2316880.3033418497;ERLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;4479.095543652881;2620896.133897242;0.00040649216395068576;3065451.3011564882;ERLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;3702.621919782452;2710463.085853335;0.00035034445107003933;2817673.45873445;ERLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;2910.811421034086;1879488.2941222284;0.00041443125475471585;1469784.169194039;MBRLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;5629.523272647;2030373.0107182732;0.0006040773111382475;2230626.021497256;ERLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;5194.767006727598;1494632.4390861804;0.0006044948886086358;1430438.214081888;feMBB;yes
VR/AR;1,00E-05;0;0;1000;no;no;5244.928052511959;1817914.4487512433;0.0007631128428411201;2139945.2274549166;feMBB;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;7965.222197020494;1728392.2887945757;0.0005513523313738415;2310686.819329476;mURLLC;yes
Smart City;0.0;0;0;0;no;yes;5271.929610224053;1874254.4628836308;0.00024659433035213117;2208866.0746956766;umMTC;no
VR/AR;1,00E-05;0;0;1000;no;no;4389.464822494548;1937169.7089656193;0.0004451326982611301;2661609.9760915944;feMBB;yes
Smart Home;0.0;0;0;0;no;yes;4824.1743136301175;2542241.417591212;0.00039348894091662754;1521054.7679103836;umMTC;no
Motion control;1,00E-06;1000;1000000;0;no;no;5165.182232095777;2232882.318129793;0.00033626335485548175;2891620.541086504;ERLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;6026.719614794238;1146709.295382456;0.0006788243531260763;1752985.4457264824;MBRLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;4925.9734086667395;2366928.7467539907;0.0005757504004093026;1242202.2356136385;ERLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;1762.6223192904422;1634146.4430657541;0.0005117203768719721;2669364.3688589744;mURLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;4272.659252605164;1273733.0824931208;0.0002526642924293066;2305386.8403457394;feMBB;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;5002.988376743195;1238492.6183791645;0.0004863443435663188;2647394.506883816;MBRLLC;yes
Smart Home;0.0;0;0;0;no;yes;7173.951909158472;2113185.851883246;0.0008877177808944499;2101067.815019405;umMTC;no
Servo motors;1,00E-07;100;1000;0;no;no;3690.8049060303474;2707280.6944381744;0.00036053615721513295;544503.0392212085;ERLLC;yes
Smart Home;0.0;0;0;0;no;yes;2275.337775775722;1859460.496008842;0.0004636540908475795;1440955.4112349418;umMTC;no
Motion control;1,00E-06;1000;1000000;0;no;no;5107.784614733448;2624845.046674045;0.0007314704965578752;2078150.5600847735;ERLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;6444.083829694269;2057116.1002313104;0.00042689964773054136;1960987.5747870104;ERLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;4344.860668152907;562926.9517628758;0.00042337153302281997;3201461.271741763;MBRLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;8971.851970147902;2408099.5675525945;0.0004618835463352282;1467627.3124625576;mURLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;8579.305526971733;1638550.6417792095;0.0005577655720699431;2578712.3873225553;MBRLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;4879.724221204229;1459642.2610144673;0.0003440676206301126;2390004.6444013542;MBRLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;5311.657475862561;2411927.7347265976;0.0006538850599090693;395880.37842457043;feMBB;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;7281.491001768703;2089240.3939791026;0.0004342700952362572;1987512.3606182623;mURLLC;yes
Smart Home;0.0;0;0;0;no;yes;4850.790427237638;1955155.273965069;0.0005343839566200421;2074484.2763613313;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;3660.486485997013;2064702.0590982204;0.0004305480609514785;2875820.548087407;feMBB;yes
Smart City;0.0;0;0;0;no;yes;6481.905021741064;1435273.1016027373;0.0002774106515681588;853253.7559787792;umMTC;no
Delivery drones;1,00E-06;1000000;0;0;yes;no;5774.44400191842;3179974.1192796407;0.000134035538482011;2515438.2892741202;MBRLLC;yes
Smart Home;0.0;0;0;0;no;yes;3655.059870775649;2115050.436434698;0.0005381187654975189;2263845.2940746713;umMTC;no
VR/AR;1,00E-05;0;0;1000;no;no;5465.727089721224;2105760.4068088946;0.00019736826139514399;2876646.8563774605;feMBB;yes
V2X;1,00E-09;1000000;0;0;yes;no;4733.759145739305;1941968.8544527264;0.0006274028132171546;1579237.0450986093;MBRLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;4358.738030377946;922308.7444681281;0.0005211887220369305;2514339.783121261;mURLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;3690.8982593816527;1550290.2394000147;0.0008373676728966316;1259140.44835485;ERLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;5202.818285518977;1184152.1614878678;0.00040271299022920663;3374876.8639253443;feMBB;yes
V2X;1,00E-09;1000000;0;0;yes;no;4557.44869807867;1120228.6753362678;0.0007891070343716783;1717213.1809006603;MBRLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;5474.963510168422;972292.4547137582;0.0004515242318307035;1008753.3382709322;MBRLLC;yes
Smart City;0.0;0;0;0;no;yes;6366.759397171283;1576528.2548402199;0.0006548448523243137;1420695.0830632052;umMTC;no
Smart City;0.0;0;0;0;no;yes;5386.40535465659;2013656.262916435;0.000590947120177304;2645723.597525532;umMTC;no
Servo motors;1,00E-07;100;1000;0;no;no;5414.932884860647;1051871.1895987294;0.0001943210165222892;1977103.9605299076;ERLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;4098.6284158989;2466562.7062785705;0.001;2673044.885617762;ERLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;6957.564298189028;2198306.549174229;0.0007697534909942303;3053968.292721024;feMBB;yes
V2X;1,00E-09;1000000;0;0;yes;no;3586.425886588885;1845527.9894078535;0.0005662592259613408;2648204.7132401704;MBRLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;2314.115328986754;3441395.6030524094;0.0007214680147345714;2622044.588993217;feMBB;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;3215.706029573289;1839601.6350924256;0.0005456523266348567;1335758.233035463;mURLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;6724.100808402882;2532140.638833988;0.0006476801853153513;1489866.3400814894;MBRLLC;yes
Smart City;0.0;0;0;0;no;yes;5765.253217360423;2139644.352538815;0.0005261036857424561;1211255.8511082344;umMTC;no
Smart Home;0.0;0;0;0;no;yes;7186.852381116272;2959158.5285307486;0.00032643454341554917;2020453.256853583;umMTC;no
Motion control;1,00E-06;1000;1000000;0;no;no;2795.6346333098018;2723056.8441300537;0.0004830493198373224;3283965.485887998;ERLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;8867.143664075755;1799999.6726241144;0.0004127683940451104;1831997.762345694;ERLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;4527.740305296951;1824213.2467492742;0.0006053874707543292;3170789.789727899;MBRLLC;yes
Smart Home;0.0;0;0;0;no;yes;2066.887609842421;1105723.9416200866;0.0003243600674624626;932584.4370458364;umMTC;no
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;8659.772647764923;2077303.6476608776;0.0005246292097012354;1698311.315452905;mURLLC;yes
Smart City;0.0;0;0;0;no;yes;2817.2145811446953;2436427.542530264;0.0002650825153597125;1384604.5142143653;umMTC;no
Smart City;0.0;0;0;0;no;yes;4337.4067934235645;1958752.5251013204;0.0006284751935472694;2293392.6142042973;umMTC;no
Smart City;0.0;0;0;0;no;yes;4657.613891307296;2933737.64079083;0.00029684473822870277;2241438.8746326156;umMTC;no
Delivery drones;1,00E-06;1000000;0;0;yes;no;5740.564556976798;2096741.5352357216;0.000600608919492768;893917.0477815738;MBRLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;3681.7927573570487;2831607.56719044;0.0005196548741953752;1445587.909984882;ERLLC;yes
Smart Home;0.0;0;0;0;no;yes;6732.515495754832;1891239.2378591641;0.0006738009306657988;2770892.4201379344;umMTC;no
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;6256.434676489653;1226975.7684659516;0.00047477948818595796;2642749.827292262;mURLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;5032.274855164146;1583340.480856022;0.0006356558967773777;1441188.5014987746;ERLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;7207.495002530084;1978534.8347453235;0.0005248169024985557;1504465.7628128547;mURLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;4887.416774723353;1500303.132426209;0.0005713800714954397;1920087.8600733525;ERLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;4541.13618512774;896623.3661711111;0.00020137775253754268;1414920.98679977;MBRLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;8330.338260636945;665110.22009244;0.00039272061494369985;2270489.353316065;ERLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;5493.344114476098;2675938.7404988226;0.00047282312940835473;1865191.5676152615;mURLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;3357.9119705760177;2256888.9964258955;0.0007283907166152229;2648355.598831379;ERLLC;yes
Smart City;0.0;0;0;0;no;yes;3583.526244552021;2183772.7929804497;0.0005576477997060932;1834578.6822984389;umMTC;no
V2X;1,00E-09;1000000;0;0;yes;no;5032.093741397811;2112238.428126608;0.00021351860382522246;2592624.2153714662;MBRLLC;yes
Smart City;0.0;0;0;0;no;yes;1004.2358732753669;1635043.9453514107;0.000572969508059482;1654484.9192343429;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;3945.6230562190553;2529556.1629886595;0.0003537856768364631;1669036.985085995;feMBB;yes
Motion control;1,00E-06;1000;1000000;0;no;no;4833.193418219942;840482.6037391345;0.000368281258139351;1967809.1450120343;ERLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;4721.8653323905255;610605.584449745;0.0004903094450174028;965677.095554662;ERLLC;yes
Smart City;0.0;0;0;0;no;yes;2904.970827635772;1865567.5301837358;0.0005461190266791475;1950612.5005951654;umMTC;no
Smart Home;0.0;0;0;0;no;yes;4253.0484335654655;2086465.9236449865;0.00037038631767806777;2731252.542782601;umMTC;no
Delivery drones;1,00E-06;1000000;0;0;yes;no;6966.6431946261155;1410591.1972517427;0.0002088725122619427;1236221.5210760697;MBRLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;6622.252525766422;937781.1607689313;0.00047047456410867424;2663624.8043804853;mURLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;5159.844721815919;2393777.196969577;0.00046268268936521895;2050384.8988350024;ERLLC;yes
Smart City;0.0;0;0;0;no;yes;4885.661524344413;1725714.7664998916;0.000738927335296521;2118794.2411229946;umMTC;no
Smart City;0.0;0;0;0;no;yes;4731.149023688251;2462726.027514408;0.0005071172333986708;2271205.962915715;umMTC;no
Delivery drones;1,00E-06;1000000;0;0;yes;no;5394.31071931444;2870470.222527019;0.0006964679237882184;1803904.5950773258;MBRLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;5171.430979650071;930943.995006165;0.0008526902896779606;2233788.033721862;MBRLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;5540.680927956566;2142212.546894432;0.0003154573540267346;1844851.1473770663;feMBB;yes
VR/AR;1,00E-05;0;0;1000;no;no;5836.739992535603;2166395.856640204;0.0007450990227407834;1609202.7754223347;feMBB;yes
Smart Home;0.0;0;0;0;no;yes;2982.1893692695303;2496284.169707118;0.0006554083776104942;2785419.4414018197;umMTC;no
Smart Home;0.0;0;0;0;no;yes;4483.437225424102;1644392.1867418473;0.000130324200471681;1170854.9765090384;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;5330.321031092014;2037220.9529758466;0.00046867086239991724;1670689.7110219505;feMBB;yes
Smart Home;0.0;0;0;0;no;yes;3390.935844640216;2489112.2301080585;0.0006175955195612715;2551819.2981969933;umMTC;no
Servo motors;1,00E-07;100;1000;0;no;no;3877.576712960091;2291834.3475989727;0.0005563123666019325;1388732.1474344563;ERLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;4637.375136753653;3039298.594730174;0.0007762561201378937;1883598.7586062234;MBRLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;4719.137042048793;1421031.9983909414;0.0005983817239278242;1084540.075226231;ERLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;5361.468544354375;2138016.7693386003;0.0002617022251556394;1720292.3379316689;mURLLC;yes
Smart City;0.0;0;0;0;no;yes;3587.2567335305685;1942478.4131161128;0.0006321026745654165;1041205.9278569646;umMTC;no
Smart Home;0.0;0;0;0;no;yes;6613.7060880820745;1862323.285236468;0.0003094790639045367;1517655.8809953462;umMTC;no
Smart City;0.0;0;0;0;no;yes;4705.403028467039;2392092.9017105075;0.00040789589938388765;2110388.5587323904;umMTC;no
Motion control;1,00E-06;1000;1000000;0;no;no;5242.4719697253995;2077096.862587626;0.0006830530608487387;1962056.4899144783;ERLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;4384.174235938244;1289367.1563669858;0.0006642616028777524;2729210.8147341833;feMBB;yes
Motion control;1,00E-06;1000;1000000;0;no;no;5393.2119751958235;2635138.7247204618;0.0005063893526787963;2479570.8002484045;ERLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;7785.59006220781;2393506.7452051817;0.0003792453519663618;1756283.2108706285;feMBB;yes
VR/AR;1,00E-05;0;0;1000;no;no;4368.698448785558;2983127.5450707115;0.00046664106501325396;2634844.5543383206;feMBB;yes
Smart City;0.0;0;0;0;no;yes;4093.096825359592;2484746.7759894705;0.0004812986832907391;1906642.7601658578;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;3617.0457676296924;1857652.363260156;0.0004055544052129818;1546272.9287287411;feMBB;yes
V2X;1,00E-09;1000000;0;0;yes;no;4901.140187503065;1862756.0133975465;0.0006892459659749112;1175676.3497613813;MBRLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;4881.839066830519;2690534.214813142;0.0004307596347055004;2974237.381126173;ERLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;5086.22978382787;1488592.6358063263;0.0004563783615739327;2850131.329192793;feMBB;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;5780.84842358057;1396742.4680883903;0.00046094247195415305;1865006.3682649047;feMBB;yes
Servo motors;1,00E-07;100;1000;0;no;no;5570.723150394502;2146917.667162439;0.0006161978374706033;1944363.9804583916;ERLLC;yes
Smart City;0.0;0;0;0;no;yes;4962.967951025744;1003944.4341461143;0.0005423823828023686;1843887.767438483;umMTC;no
Smart City;0.0;0;0;0;no;yes;8256.510313136845;2232470.6731673577;0.0005363776138587511;729794.7352675034;umMTC;no
Servo motors;1,00E-07;100;1000;0;no;no;6151.518693439438;2313123.8117248137;0.00034289500311130805;1926709.222357611;ERLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;3185.2483052560374;1835737.9838555371;0.0005391276836151696;572643.1787981344;ERLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;2425.420890727193;2938694.676462697;0.0006243470548549331;1212904.7074202793;MBRLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;3841.200732296894;2751981.8515324797;0.00044259966378300047;1991215.8788558196;mURLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;5254.905190353538;1481192.7227737731;0.0005243181380150475;2541462.4597103368;MBRLLC;yes
Smart City;0.0;0;0;0;no;yes;3701.4638233296873;2437174.989985614;0.0006534617468386568;884357.3495178951;umMTC;no
VR/AR;1,00E-05;0;0;1000;no;no;3954.5591965298804;2656361.346539707;0.000366431166175638;1892403.9032302413;feMBB;yes
Smart Home;0.0;0;0;0;no;yes;5043.940719787711;2055179.6070483783;0.00036877622742652794;1951790.2144065732;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;4430.602563966019;1712126.2627311004;0.0004799093977203802;1890925.5976496288;feMBB;yes
Servo motors;1,00E-07;100;1000;0;no;no;1588.006712676317;1260809.195672152;0.0006300097377127286;2219289.532880669;ERLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;6795.614684732564;1627848.7734747906;2.97372337821635e-06;2513732.9343435285;ERLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;6408.620658696234;1275661.8266887928;0.0004674032555881008;2029432.8949556926;feMBB;yes
Smart Home;0.0;0;0;0;no;yes;2858.8460896213314;2608311.108045067;0.0003825532710847059;3025934.51942123;umMTC;no
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;5095.309017579843;1829907.0194604835;0.0005595752644023504;1854434.664905107;mURLLC;yes
Smart Home;0.0;0;0;0;no;yes;3139.7668747772327;2347768.2670436995;0.00048360363179249846;1322049.6915517827;umMTC;no
Smart Home;0.0;0;0;0;no;yes;3985.9404996716844;2840201.5472004293;0.000690462059998963;3207787.3139845342;umMTC;no
Smart Home;0.0;0;0;0;no;yes;5810.673892600445;2141453.0614830097;0.0006082846889115157;3629757.3026701356;umMTC;no
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;6350.443521147188;2784716.879865818;0.00046206260408447245;2399321.006651002;mURLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;6311.440458087083;1766294.4804781296;0.0003302686303179683;479651.41666513355;mURLLC;yes
Smart City;0.0;0;0;0;no;yes;5408.5245336325725;2257637.688750784;0.0005582635609310504;2176426.2772911326;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;7125.630359764669;2136938.4265661747;0.00045010610212895615;1537425.1723771724;feMBB;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;3982.998927900935;1532323.4738890943;0.00046593230949131215;2991330.1583865704;mURLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;4352.849498711785;1793775.281051263;0.0003062635940255137;1992219.4937456022;mURLLC;yes
Smart City;0.0;0;0;0;no;yes;676.5526325716373;2943459.716669051;0.0005254412229750892;1546950.4312190916;umMTC;no
Servo motors;1,00E-07;100;1000;0;no;no;4845.421313033491;1770086.8842785533;0.0004154418080501451;2226259.471683983;ERLLC;yes
Smart City;0.0;0;0;0;no;yes;5966.559157816942;891575.8666593656;0.00043217157914905973;2859688.5305771353;umMTC;no
Motion control;1,00E-06;1000;1000000;0;no;no;5475.885143412835;1769176.3182189516;0.0;1456741.2104299567;ERLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;3960.5700813199574;1498047.6590803037;0.0005055650741967088;2516582.103328307;ERLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;6407.9019229231735;2303948.956670899;0.00034142829905322984;740504.3722331284;feMBB;yes
Smart Home;0.0;0;0;0;no;yes;4877.461051159519;2409862.952608925;0.0005859947668408478;1942457.9488659587;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;6277.7501155625005;2238753.0533499434;0.0005118508456290328;1080918.5374295758;feMBB;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;5810.668450229587;1727016.521226083;0.0002550600616189285;1433955.7072525392;MBRLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;7374.444180011897;2039456.3790015553;0.00048273290366307887;2794426.753439094;MBRLLC;yes
Smart City;0.0;0;0;0;no;yes;5566.049043716579;1789819.519784665;0.000535822942135775;1766081.768805532;umMTC;no
Servo motors;1,00E-07;100;1000;0;no;no;6016.96946444498;1035447.3626304556;0.0008477757562194227;1514272.0260048802;ERLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;4872.650971672945;1925265.8768563194;0.0005998945992617816;2781168.20697995;MBRLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;4162.433564893356;3757774.8015358243;0.00028477980782212596;2385667.5697648316;ERLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;5818.305223899348;1313833.5361264553;0.0008238634150744802;750559.1875838866;MBRLLC;yes
Smart City;0.0;0;0;0;no;yes;7504.8007074499255;763437.5104373086;0.00045418676637293335;1953360.4878798807;umMTC;no
